x,     y,     bad
-3.28,  5.43, 1
 6.62,  4.08, 1
 8.74,  8.66, 1
 8.74,  9.42, 1
 0.96, 12.79, 1
 7.56, 14.02, 1
 2.32, 18.38, 1
-1.59, 22.66, 1
 8.81, 25.63, 1
 8.10, 33.08, 1
 0.88, 38.61, 1
13.42, 46.53, 1
 6.83, 54.15, 1
 3.57, 56.20, 1
11.93, 63.45, 1
-0.38, 71.69, 1
 5.67, 84.33, 1
 2.03, 95.44, 1
 7.00, 102.55, 1
 5.92, 112.27, 1
13.13, 122.76, 1
 6.18, 131.16, 1
10.40, 147.70, 1
16.73, 159.10, 1
 6.88, 171.95, 1
 0.76, 184.65, -1
15.36, 197.99, 1
14.96, 211.73, 1
15.64, 229.71, 1
20.72, 242.41, 1
18.87, 259.42, 1
12.44, 275.02, 1
18.63, 290.80, 1
21.58, 307.90, 1
21.49, 329.38, 1
25.02, 342.11, 1
21.26, 362.58, 1
17.40, 384.97, 1
22.33, 403.56, 1
25.27, 420.67, 1
20.10, 446.79, 1
21.48, 463.98, 1
15.18, 485.98, 1
20.70, 505.55, 1
27.62, 530.43, 1
14.10, 557.61, 1
25.08, 579.63, 1
21.00, 597.33, 1
24.09, 631.92, 1
30.35, 652.98, 1
39.28, 675.66, -1
33.09, 705.36, 1
34.63, 731.90, 1
29.25, 761.13, 1
35.06, 785.98, 1
25.06, 817.10, 1
27.86, 840.19, 1
21.57, 872.90, 1
24.91, 903.46, 1
26.82, 932.89, 1
26.76, 964.08, 1
28.35, 992.16, 1
34.93, 1025.09, 1
24.08, 1057.48, 1
30.33, 1091.10, 1
23.21, 1125.49, -1
35.41, 1154.60, 1
31.04, 1191.76, 1
41.84, 1225.48, 1
37.43, 1265.53, 1
32.58, 1296.45, 1
38.69, 1338.40, 1
40.23, 1366.63, 1
36.95, 1406.88, 1
32.29, 1447.55, 1
25.59, 1482.69, -1
35.96, 1523.91, 1
47.00, 1562.35, 1
56.41, 1604.18, -1
41.29, 1645.23, 1
41.26, 1682.73, 1
46.91, 1722.06, 1
43.09, 1766.98, 1
46.26, 1805.31, 1
43.11, 1851.86, 1
38.68, 1894.50, 1
48.81, 1940.06, 1
50.29, 1982.13, 1
43.67, 2028.71, 1
50.37, 2074.48, 1
37.80, 2118.02, 1
41.43, 2162.93, 1
39.72, 2212.13, 1
46.45, 2261.56, 1
45.21, 2309.26, 1
36.27, 2354.38, -1
47.22, 2404.81, 1
46.80, 2455.53, 1
49.32, 2501.99, 1
54.69, 2552.68, 1
48.20, 2600.33, 1
51.26, 2656.21, 1
52.10, 2704.37, 1
54.40, 2760.32, 1
54.30, 2810.00, 1
57.32, 2864.54, 1
58.79, 2917.65, 1
53.90, 2973.22, 1
51.66, 3029.24, 1
45.89, 3082.06, 1
50.01, 3136.67, 1
53.90, 3198.19, 1
61.44, 3249.93, 1
52.65, 3307.22, 1
56.07, 3364.75, 1
48.94, 3422.78, 1
53.27, 3481.30, 1
60.85, 3545.78, 1
59.06, 3603.53, 1
67.31, 3665.69, 1
53.83, 3723.66, 1
66.22, 3782.13, 1
61.27, 3846.16, 1
62.50, 3905.84, 1
68.85, 3970.63, 1
75.83, 4031.32, -1
61.98, 4099.18, 1
58.36, 4162.17, 1
51.68, 4226.73, -1
62.22, 4294.79, 1
63.11, 4357.08, 1
81.17, 4420.56, -1
62.57, 4489.11, 1
68.21, 4557.90, 1
71.79, 4625.31, 1
60.00, 4694.15, 1
71.29, 4760.38, 1
63.88, 4832.96, 1
72.72, 4902.92, 1
70.30, 4970.44, 1
70.61, 5041.05, 1
73.74, 5112.99, 1
78.56, 5187.03, 1
67.01, 5257.44, 1
73.58, 5328.38, 1
75.26, 5404.82, 1
75.40, 5479.35, 1
62.75, 5552.71, -1
66.83, 5627.58, 1
75.09, 5705.03, 1
78.07, 5779.77, 1
76.23, 5856.81, 1
83.21, 5931.79, 1
67.58, 6010.82, 1
82.44, 6083.28, 1
80.63, 6162.64, 1
76.54, 6242.15, 1
83.25, 6318.40, 1
70.54, 6400.39, 1
76.82, 6483.26, 1
73.47, 6564.26, 1
89.76, 6643.24, -1
81.06, 6730.03, 1
71.33, 6807.33, -1
73.09, 6891.11, 1
71.91, 6977.11, -1
95.92, 7056.39, -1
81.05, 7140.22, 1
83.98, 7231.44, 1
85.23, 7311.92, 1
79.25, 7398.58, 1
83.44, 7483.91, 1
85.45, 7572.28, 1
89.69, 7655.99, 1
88.15, 7744.76, 1
83.98, 7834.23, 1
88.57, 7919.25, 1
78.52, 8013.20, -1
96.36, 8102.04, 1
93.06, 8188.70, 1
97.27, 8285.24, 1
87.62, 8373.84, 1
89.84, 8466.70, 1
82.54, 8557.16, 1
95.37, 8649.28, 1
90.99, 8743.74, 1
86.13, 8838.28, 1
89.48, 8930.68, 1
95.41, 9022.66, 1
103.49, 9122.00, 1
96.81, 9216.59, 1
91.62, 9315.27, 1
92.38, 9412.36, 1
96.44, 9505.06, 1
107.20, 9604.41, -1
99.66, 9703.56, 1
106.51, 9801.84, 1
103.70, 9902.37, 1
110.99, 10006.97, -1
97.34, 10106.49, 1
